Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),PERIMETER_ZN_1:People Occupant Count [](TimeStep),EMS:PerimeterZN1_Q_Sen [W](TimeStep),EMS:PerimeterZN1_Q_Lat [W](TimeStep),PERIMETER_ZN_1_WALL_WEST:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_1:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_2:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_3:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_4:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_5:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_6:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_EAST:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_NORTH:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_FLOOR:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_CEILING:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Radiant Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Dewpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Humidity Ratio [](TimeStep),PERIMETER_ZN_1:Zone Air Relative Humidity [%](TimeStep),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FMU_PERIMETER_ZN_1_PH:Schedule Value [](TimeStep),FMU_PERIMETER_ZN_1_PF:Schedule Value [](TimeStep),PERIMETER_ZN_1 NODE1:System Node Temperature [C](TimeStep),PERIMETER_ZN_1 NODE1:System Node Mass Flow Rate [kg/s](TimeStep),PERIMETER_ZN_1 NODE1:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep) 
 07/06  00:01:00,26.671666666666668,21.689999999999999,0.0169340141633675,74.08333333333333,0.0,0.0,0.0,28.916727779457419,29.868874566435957,27.039244007642027,27.039400838778989,27.039400838778819,27.03940083877933,27.039400838778307,27.039244015792066,28.882502166257628,28.888692848020307,29.959859155383297,29.837920973982557,29.74643949781311,27.454897341094207,30.339367287653759,0.024205689395146624,84.62295751683884,54.9,55.0,0.0,0.0,0.0,0.0,30.341332770526106,0.0,0.024218351582054964 
 07/06  00:02:00,26.64333333333333,21.68,0.01692366960964791,74.16666666666667,0.0,0.0,0.0,28.914444979733039,29.865046381436917,27.038289970598954,27.038444798936497,27.038444798935076,27.038444798935985,27.038444798936327,27.038289978644344,28.880324407199955,28.886706139204845,29.9586652604643,29.834911888767996,29.744012105761219,27.447165310548824,30.337387545868326,0.024193027850918475,84.59426346382313,54.9,55.0,10.0,32.22222222222222,0.0,0.0,30.339367287653759,0.0,0.024205689395146624 
 07/06  00:03:00,26.615,21.669999999999999,0.01691330441222911,74.25,0.0,0.0,0.0,28.912060136472247,29.861230660592765,27.037510248125729,27.037662958582588,27.037662958583839,27.037662958583384,27.03766295858287,27.037510256060786,28.87804443591748,28.884616079690603,29.957471076514524,29.831915346831086,29.741575876028919,27.43943040985464,30.33539402309965,0.024180369585416047,84.56563162073923,54.9,55.0,10.0,32.22222222222222,0.0,0.0,30.337387545868326,0.0,0.024193027850918475 
 07/06  00:04:00,26.586666666666667,21.66,0.016902916715395526,74.33333333333333,0.0,0.0,0.0,28.908480906757374,29.85740253424258,27.03661818243188,27.036768842114499,27.036768842112907,27.036768842113874,27.03676884211336,27.036618190260357,28.874574479041447,28.881315245062284,29.956266237556976,29.828904992192184,29.738921032706164,27.431692777534218,30.333384875377229,0.024167714859367956,84.53707665502589,54.9,55.0,10.0,32.22222222222222,0.0,0.0,30.33539402309965,0.0,0.024180369585416047 
 07/06  00:05:00,26.55833333333333,21.65,0.016892507591073633,74.41666666666666,0.0,0.0,0.0,28.901147824809656,29.85349567897228,27.035590623577265,27.035739253092176,27.03573925309132,27.03573925309263,27.0357392530924,27.035590631299614,28.867361454878798,28.87418476559795,29.955026356574938,29.8258122976244,29.73556971247231,27.42395388817425,30.331351994464826,0.024155063336535003,84.50863428174425,54.9,55.0,10.0,32.22222222222222,0.0,0.0,30.333384875377229,0.0,0.024167714859367956 
 07/06  00:06:00,26.53,21.64,0.016882078109354497,74.50000000000002,0.0,0.0,0.0,28.88771367154003,29.849431774307843,27.034224421940338,27.03437105028553,27.0343710502857,27.034371050284564,27.034371050285473,27.034224429558777,28.854054796403977,28.860755392493176,29.95372273211464,29.822556319158499,29.73106517707051,27.416213529635415,30.32927820249324,0.024142414734350014,84.48038187060154,54.9,55.0,10.0,32.22222222222222,0.0,0.0,30.331351994464826,0.0,0.024155063336535003 
 07/06  00:07:00,26.501666666666666,21.63,0.01687162641633641,74.58333333333333,0.0,0.0,0.0,28.867765209586055,29.84516175750953,27.032363121291838,27.032507773035378,27.03250777303532,27.03250777303583,27.032507773035264,27.03236312880898,28.83422598278344,28.8404683028256,29.952356223138847,29.81908640300831,29.725300744379458,27.408469604982938,30.327139448667717,0.02412976891183624,84.45244328948418,54.9,55.0,10.0,32.22222222222222,0.0,0.0,30.32927820249324,0.0,0.024142414734350014 
 07/06  00:08:00,26.473333333333334,21.62,0.016861153582103159,74.66666666666667,0.0,0.0,0.0,28.842820916697229,29.840679382272567,27.029994026553824,27.03013672303325,27.030136723033594,27.030136723033026,27.030136723033708,27.029994033969446,28.809374348226549,28.814744137441143,29.95093780690023,29.815396245732918,29.718510038810437,27.40072412023099,30.3249109524044,0.02411712581000381,84.42493330715921,54.9,55.0,10.0,32.22222222222222,0.0,0.0,30.327139448667717,0.0,0.02412976891183624 
 07/06  00:09:00,26.445,21.61,0.016850660674887234,74.75,0.0,0.0,0.0,28.815269871157225,29.83602072320684,27.027219513983256,27.02736027284493,27.02736027284493,27.02736027284459,27.027360272845159,27.02721952129781,28.781874067357319,28.785961326467999,29.949490283433378,29.811523261515114,29.711144775133456,27.39297557348768,30.322573608849113,0.024104485397776756,84.39794360366119,54.9,55.0,10.0,32.22222222222222,0.0,0.0,30.3249109524044,0.0,0.02411712581000381 
 07/06  00:10:00,26.416666666666666,21.599999999999999,0.016840145842629087,74.83333333333334,0.0,0.0,0.0,28.78737186629213,29.831234643568715,27.024222638010316,27.024361473458215,27.02436147345827,27.02436147345776,27.024361473457817,27.024222645223746,28.75397744653202,28.756449319228119,29.94796241377885,29.80751811518585,29.703612972534854,27.385224530197499,30.32011733558867,0.02409184764540634,84.37151968254018,54.9,55.0,10.0,32.22222222222222,0.0,0.0,30.322573608849113,0.0,0.024104485397776756 
